file,FFT_1
date,2020-Jun-23 17:02:11.404002
desc,
note,
ch_name,Ch2
ch_type,Auto Spectrum
x_unit,Hz
y_unit,g^2
window,Hann,1.000000e+000
weighting,None
detection,rms
overall,3.813525e-001 rms
ref_ch_name,
ref_ch_id,
ref_y_unit,
db_ref,1.000000e+000
slice,Off,0.000000e+000,
rpm,0.000000e+000
time,2020-Jun-23 17:03:11.804002
data
x,y,y(dB)
5.737500e+002,1.405980e-005,-9.704042e+001
5.750000e+002,5.142212e-005,-8.577700e+001
5.762500e+002,8.540008e-005,-8.137083e+001
5.775000e+002,2.979652e-005,-9.051669e+001
5.787500e+002,4.454957e-005,-8.702313e+001
5.800000e+002,5.634955e-005,-8.498219e+001
5.812500e+002,5.886288e-005,-8.460317e+001
5.825000e+002,4.433591e-005,-8.706489e+001
5.837500e+002,1.951518e-005,-9.419255e+001
5.850000e+002,2.619904e-005,-9.163429e+001
5.862500e+002,3.999085e-005,-8.796079e+001
5.875000e+002,2.573364e-005,-9.178998e+001
5.887500e+002,2.700053e-006,-1.113726e+002
5.900000e+002,1.741051e-006,-1.151838e+002
5.912500e+002,9.366327e-006,-1.005686e+002
5.925000e+002,1.246576e-005,-9.808562e+001
5.937500e+002,1.523821e-004,-7.634132e+001
5.950000e+002,1.704336e-004,-7.536890e+001
5.962500e+002,2.405213e-004,-7.237693e+001
5.975000e+002,1.504376e-004,-7.645287e+001
5.987500e+002,5.307359e-006,-1.055024e+002
6.000000e+002,2.650214e-005,-9.153438e+001
6.012500e+002,1.217526e-006,-1.182904e+002
6.025000e+002,5.012489e-005,-8.599893e+001
6.037500e+002,6.031155e-005,-8.439199e+001
6.050000e+002,7.502798e-005,-8.249553e+001
6.062500e+002,6.594398e-005,-8.361650e+001
6.075000e+002,4.046835e-005,-8.785769e+001
6.087500e+002,1.113978e-005,-9.906246e+001
6.100000e+002,8.757855e-006,-1.011520e+002
6.112500e+002,1.653886e-005,-9.562989e+001
6.125000e+002,2.626536e-005,-9.161233e+001
6.137500e+002,4.881200e-006,-1.062295e+002
6.150000e+002,1.308668e-005,-9.766341e+001
6.162500e+002,2.596711e-005,-9.171153e+001
6.175000e+002,1.052008e-005,-9.955962e+001
6.187500e+002,9.696281e-010,-1.802679e+002
6.200000e+002,5.577687e-007,-1.250709e+002
6.212500e+002,2.080579e-006,-1.136363e+002
6.225000e+002,5.866934e-006,-1.046318e+002
6.237500e+002,3.837296e-005,-8.831949e+001
6.250000e+002,1.098459e-004,-7.918432e+001
6.262500e+002,2.904325e-005,-9.073910e+001
6.275000e+002,2.178049e-005,-9.323865e+001
6.287500e+002,1.568665e-005,-9.608939e+001
6.300000e+002,2.170525e-009,-1.732687e+002
6.312500e+002,1.605348e-005,-9.588862e+001
6.325000e+002,4.062584e-005,-8.782395e+001
6.337500e+002,6.520754e-005,-8.371404e+001
